n_features,k,n_samples,sample_id,difference
7,6,500000,400781,0.0099999999999999
7,6,500000,403538,0.01
7,6,500000,404745,0.01
7,6,500000,405208,0.01
7,6,500000,405460,0.01
7,6,500000,407794,0.04
7,6,500000,407839,0.01
7,6,500000,409801,0.01
7,6,500000,409936,0.0099999999999999
7,6,500000,410507,0.03
7,6,500000,411033,0.0099999999999999
7,6,500000,413444,0.0099999999999999
7,6,500000,413447,0.0099999999999999
7,6,500000,413782,0.01
7,6,500000,414343,0.01
7,6,500000,415365,0.01
7,6,500000,415600,0.01
7,6,500000,416236,0.01
7,6,500000,416669,0.01
7,6,500000,417057,0.01
7,6,500000,417973,0.01
7,6,500000,419300,0.01
7,6,500000,420051,0.0099999999999999
7,6,500000,420677,0.01
7,6,500000,421020,0.01
7,6,500000,421905,0.0099999999999999
7,6,500000,425311,0.01
7,6,500000,425492,0.0099999999999999
7,6,500000,426234,0.01
7,6,500000,426328,0.0099999999999999
7,6,500000,426668,0.01
7,6,500000,427529,0.01
7,6,500000,429281,0.03
7,6,500000,429676,0.01
7,6,500000,431306,0.01
7,6,500000,431664,0.01
7,6,500000,432469,0.01
7,6,500000,432498,0.01
7,6,500000,433628,0.01
7,6,500000,434491,0.01
7,6,500000,434886,0.0199999999999999
7,6,500000,434898,0.01
7,6,500000,435017,0.01
7,6,500000,435140,0.01
7,6,500000,436034,0.01
7,6,500000,436039,0.0099999999999999
7,6,500000,436169,0.01
7,6,500000,439013,0.0099999999999999
7,6,500000,439761,0.0099999999999999
7,6,500000,442809,0.0099999999999999
7,6,500000,442818,0.0099999999999999
7,6,500000,442871,0.01
7,6,500000,443909,0.01
7,6,500000,444891,0.01
7,6,500000,446751,0.02
7,6,500000,446885,0.01
7,6,500000,448972,0.01
7,6,500000,449806,0.0099999999999999
7,6,500000,450751,0.0099999999999999
7,6,500000,453832,0.01
7,6,500000,454071,0.01
7,6,500000,455034,0.0099999999999999
7,6,500000,455142,0.0199999999999999
7,6,500000,455625,0.01
7,6,500000,456478,0.01
7,6,500000,456637,0.01
7,6,500000,457243,0.01
7,6,500000,458431,0.07
7,6,500000,458897,0.01
7,6,500000,459030,0.0099999999999999
7,6,500000,459616,0.01
7,6,500000,459674,0.0099999999999999
7,6,500000,460899,0.0099999999999999
7,6,500000,462142,0.01
7,6,500000,463739,0.0099999999999999
7,6,500000,464874,0.02
7,6,500000,467865,0.01
7,6,500000,468043,0.01
7,6,500000,468174,0.0099999999999999
7,6,500000,468771,0.01
7,6,500000,469994,0.0099999999999999
7,6,500000,470275,0.0099999999999999
7,6,500000,470708,0.0099999999999999
