n_features,k,n_samples,sample_id,difference
7,6,10000,1542,0.04999999999999999
7,6,10000,1543,0.06000000000000001
7,6,10000,1544,0.03
7,6,10000,1545,0.09
7,6,10000,1546,0.009999999999999995
7,6,10000,1549,0.06
7,6,10000,1552,0.039999999999999994
7,6,10000,1554,0.03999999999999998
7,6,10000,1556,0.010000000000000009
7,6,10000,1563,0.07999999999999999
7,6,10000,1564,0.10999999999999999
7,6,10000,1565,0.01999999999999999
7,6,10000,1567,0.03
7,6,10000,1572,0.03
7,6,10000,1573,0.03999999999999998
7,6,10000,1580,0.09
7,6,10000,1581,0.010000000000000009
7,6,10000,1582,0.010000000000000009
7,6,10000,1586,0.01999999999999999
7,6,10000,1588,0.060000000000000026
7,6,10000,1596,0.020000000000000018
7,6,10000,1597,0.01
7,6,10000,1601,0.05999999999999997
7,6,10000,1602,0.03
7,6,10000,1604,0.14
7,6,10000,1606,0.020000000000000004
7,6,10000,1607,0.07999999999999999
7,6,10000,1611,0.03
7,6,10000,1612,0.03
7,6,10000,1613,0.010000000000000009
7,6,10000,1617,0.06
7,6,10000,1618,0.08
7,6,10000,1620,0.04999999999999999
7,6,10000,1621,0.020000000000000018
7,6,10000,1622,0.010000000000000009
7,6,10000,1623,0.03
7,6,10000,1626,0.04999999999999999
7,6,10000,1627,0.020000000000000004
7,6,10000,1630,0.12000000000000002
7,6,10000,1631,0.04999999999999999
7,6,10000,1632,0.03
7,6,10000,1633,0.04000000000000001
7,6,10000,1642,0.06
7,6,10000,1643,0.010000000000000009
7,6,10000,1645,0.009999999999999995
7,6,10000,1646,0.10000000000000003
7,6,10000,1647,0.07999999999999999
7,6,10000,1649,0.04999999999999999
7,6,10000,1654,0.06
7,6,10000,1656,0.03
7,6,10000,1657,0.010000000000000009
7,6,10000,1664,0.020000000000000018
7,6,10000,1666,0.05000000000000002
7,6,10000,1668,0.03
7,6,10000,1673,0.01999999999999999
7,6,10000,1674,0.04999999999999999
7,6,10000,1675,0.03
7,6,10000,1676,0.03
7,6,10000,1679,0.08000000000000002
7,6,10000,1680,0.010000000000000009
7,6,10000,1685,0.010000000000000009
7,6,10000,1687,0.010000000000000009
7,6,10000,1688,0.04000000000000001
7,6,10000,1689,0.04999999999999999
7,6,10000,1693,0.04999999999999999
7,6,10000,1694,0.030000000000000027
7,6,10000,1697,0.04000000000000001
7,6,10000,1698,0.020000000000000018
